track_id,pair_id,s3_url,http_url,is_parent,song_quantile
tracks/number_4-rmssm,all__number_4-rmssm,s3://lucas-audiotool-tracks/mp3/e7/5b/number_4-rmssm.e75bd363.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e7/5b/number_4-rmssm.e75bd363.mp3,True,all tracks
tracks/max_track,all__max_track,s3://lucas-audiotool-tracks/mp3/5b/91/max_track.5b91e052.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/5b/91/max_track.5b91e052.mp3,True,all tracks
tracks/taio_cruz_-_dynamite,all__taio_cruz_-_dynamite,s3://lucas-audiotool-tracks/mp3/3d/d6/taio_cruz_-_dynamite.3dd65299.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3d/d6/taio_cruz_-_dynamite.3dd65299.mp3,True,all tracks
tracks/o2l7gob9e,all__o2l7gob9e,s3://lucas-audiotool-tracks/mp3/3c/66/o2l7gob9e.3c661ebe.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3c/66/o2l7gob9e.3c661ebe.mp3,True,all tracks
tracks/svhxaxo76hu,all__svhxaxo76hu,s3://lucas-audiotool-tracks/mp3/42/01/svhxaxo76hu.420148a5.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/42/01/svhxaxo76hu.420148a5.mp3,True,all tracks
tracks/hell_risen,all__hell_risen,s3://lucas-audiotool-tracks/mp3/e8/95/hell_risen.e895a117.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e8/95/hell_risen.e895a117.mp3,True,all tracks
tracks/introhhd4_remix3,all__introhhd4_remix3,s3://lucas-audiotool-tracks/mp3/b1/52/introhhd4_remix3.b1522cb5.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b1/52/introhhd4_remix3.b1522cb5.mp3,True,all tracks
tracks/b9rlhpzzd2,all__b9rlhpzzd2,s3://lucas-audiotool-tracks/mp3/c2/c9/b9rlhpzzd2.c2c9c6b5.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/c2/c9/b9rlhpzzd2.c2c9c6b5.mp3,True,all tracks
tracks/i41069j1ytx2,all__i41069j1ytx2,s3://lucas-audiotool-tracks/mp3/dc/56/i41069j1ytx2.dc5675fd.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/dc/56/i41069j1ytx2.dc5675fd.mp3,True,all tracks
tracks/breakfast_at_milliways,all__breakfast_at_milliways,s3://lucas-audiotool-tracks/mp3/7e/ab/breakfast_at_milliways.7eab33f0.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/7e/ab/breakfast_at_milliways.7eab33f0.mp3,True,all tracks
