track_id,pair_id,s3_url,http_url,is_parent,song_quantile
tracks/house_snippet,top_10_percent__house_snippet,s3://lucas-audiotool-tracks/mp3/81/03/house_snippet.81039b1a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/81/03/house_snippet.81039b1a.mp3,True,top 10%
tracks/synrise,top_10_percent__synrise,s3://lucas-audiotool-tracks/mp3/bd/bf/synrise.bdbfc736.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/bd/bf/synrise.bdbfc736.mp3,True,top 10%
tracks/kaykay,top_10_percent__kaykay,s3://lucas-audiotool-tracks/mp3/6f/77/kaykay.6f77dd6a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/6f/77/kaykay.6f77dd6a.mp3,True,top 10%
tracks/sfbpbvgwx9,top_10_percent__sfbpbvgwx9,s3://lucas-audiotool-tracks/mp3/92/4b/sfbpbvgwx9.924b861c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/92/4b/sfbpbvgwx9.924b861c.mp3,True,top 10%
tracks/strike_back,top_10_percent__strike_back,s3://lucas-audiotool-tracks/mp3/db/ce/strike_back.dbce4cf4.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/db/ce/strike_back.dbce4cf4.mp3,True,top 10%
tracks/2r4rvb2lwk,top_10_percent__2r4rvb2lwk,s3://lucas-audiotool-tracks/mp3/6c/35/2r4rvb2lwk.6c35b6ec.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/6c/35/2r4rvb2lwk.6c35b6ec.mp3,True,top 10%
tracks/squaaaaaaaaa,top_1_percent__squaaaaaaaaa,s3://lucas-audiotool-tracks/mp3/0f/89/squaaaaaaaaa.0f893221.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/0f/89/squaaaaaaaaa.0f893221.mp3,True,top 1%
tracks/set_phazers_to_everything_preview,top_1_percent__set_phazers_to_everything_preview,s3://lucas-audiotool-tracks/mp3/49/93/set_phazers_to_everything_preview.49938d06.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/49/93/set_phazers_to_everything_preview.49938d06.mp3,True,top 1%
tracks/fetsubar,top_1_percent__fetsubar,s3://lucas-audiotool-tracks/mp3/21/90/fetsubar.219036f4.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/21/90/fetsubar.219036f4.mp3,True,top 1%
tracks/gr8_m8_i_r8_7_8_i_mean_8_8_i_mean_6_8,top_1_percent__gr8_m8_i_r8_7_8_i_mean_8_8_i_mean_6_8,s3://lucas-audiotool-tracks/mp3/a4/43/gr8_m8_i_r8_7_8_i_mean_8_8_i_mean_6_8.a4432f61.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/a4/43/gr8_m8_i_r8_7_8_i_mean_8_8_i_mean_6_8.a4432f61.mp3,True,top 1%
tracks/insane-bwmlb,top_1_percent__insane-bwmlb,s3://lucas-audiotool-tracks/mp3/d1/cc/insane-bwmlb.d1ccf92e.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/d1/cc/insane-bwmlb.d1ccf92e.mp3,True,top 1%
tracks/comment-z5tym33g,top_1_percent__comment-z5tym33g,s3://lucas-audiotool-tracks/mp3/5c/bf/comment-z5tym33g.5cbfa2d2.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/5c/bf/comment-z5tym33g.5cbfa2d2.mp3,True,top 1%
tracks/10jshvkgbfy,top_1_percent__10jshvkgbfy,s3://lucas-audiotool-tracks/mp3/2a/73/10jshvkgbfy.2a73b828.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/2a/73/10jshvkgbfy.2a73b828.mp3,True,top 1%
tracks/jg_dubz_x_shirako_x_prowla_-_kraken_lord,top_1_percent__jg_dubz_x_shirako_x_prowla_-_kraken_lord,s3://lucas-audiotool-tracks/mp3/fe/87/jg_dubz_x_shirako_x_prowla_-_kraken_lord.fe87bcd4.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/fe/87/jg_dubz_x_shirako_x_prowla_-_kraken_lord.fe87bcd4.mp3,True,top 1%
tracks/ms54a38c72ja,top_1_percent__ms54a38c72ja,s3://lucas-audiotool-tracks/mp3/e9/e9/ms54a38c72ja.e9e979cc.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e9/e9/ms54a38c72ja.e9e979cc.mp3,True,top 1%
tracks/heartskip,top_1_percent__heartskip,s3://lucas-audiotool-tracks/mp3/a7/ca/heartskip.a7ca9f3e.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/a7/ca/heartskip.a7ca9f3e.mp3,True,top 1%
tracks/all_i_need-18j9wdda,top_1_percent__all_i_need-18j9wdda,s3://lucas-audiotool-tracks/mp3/3a/f5/all_i_need-18j9wdda.3af5b43e.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3a/f5/all_i_need-18j9wdda.3af5b43e.mp3,True,top 1%
tracks/qfd1vl1y2vdj,top_1_percent__qfd1vl1y2vdj,s3://lucas-audiotool-tracks/mp3/6b/a9/qfd1vl1y2vdj.6ba976a0.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/6b/a9/qfd1vl1y2vdj.6ba976a0.mp3,True,top 1%
tracks/lzlrxy4s0,top_1_percent__lzlrxy4s0,s3://lucas-audiotool-tracks/mp3/f2/61/lzlrxy4s0.f2613716.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f2/61/lzlrxy4s0.f2613716.mp3,True,top 1%
tracks/63zegmq02z2i,top_1_percent__63zegmq02z2i,s3://lucas-audiotool-tracks/mp3/0f/ab/63zegmq02z2i.0fabc58f.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/0f/ab/63zegmq02z2i.0fabc58f.mp3,True,top 1%
tracks/the_return_wip,top_1_percent__the_return_wip,s3://lucas-audiotool-tracks/mp3/88/eb/the_return_wip.88ebfa5b.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/88/eb/the_return_wip.88ebfa5b.mp3,True,top 1%
tracks/glyph-bercntc5,top_1_percent__glyph-bercntc5,s3://lucas-audiotool-tracks/mp3/d5/73/glyph-bercntc5.d5736ee9.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/d5/73/glyph-bercntc5.d5736ee9.mp3,True,top 1%
tracks/o41p0zzoze,top_1_percent__o41p0zzoze,s3://lucas-audiotool-tracks/mp3/91/11/o41p0zzoze.9111a18d.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/91/11/o41p0zzoze.9111a18d.mp3,True,top 1%
tracks/i_can_see_joy,top_1_percent__i_can_see_joy,s3://lucas-audiotool-tracks/mp3/4d/5d/i_can_see_joy.4d5d3a2c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/4d/5d/i_can_see_joy.4d5d3a2c.mp3,True,top 1%
tracks/twerk_on_luxy_boi,top_1_percent__twerk_on_luxy_boi,s3://lucas-audiotool-tracks/mp3/64/d1/twerk_on_luxy_boi.64d1cf4a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/64/d1/twerk_on_luxy_boi.64d1cf4a.mp3,True,top 1%
tracks/4hctps495lzx,top_1_percent__4hctps495lzx,s3://lucas-audiotool-tracks/mp3/0e/2a/4hctps495lzx.0e2a0be0.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/0e/2a/4hctps495lzx.0e2a0be0.mp3,True,top 1%
tracks/festival,top_1_percent__festival,s3://lucas-audiotool-tracks/mp3/bd/c4/festival.bdc4091d.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/bd/c4/festival.bdc4091d.mp3,True,top 1%
tracks/mkh5b06ya3l,top_1_percent__mkh5b06ya3l,s3://lucas-audiotool-tracks/mp3/c7/d2/mkh5b06ya3l.c7d2ffd4.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/c7/d2/mkh5b06ya3l.c7d2ffd4.mp3,True,top 1%
tracks/okdke6n0c,top_1_percent__okdke6n0c,s3://lucas-audiotool-tracks/mp3/31/6b/okdke6n0c.316bdeec.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/31/6b/okdke6n0c.316bdeec.mp3,True,top 1%
tracks/audiotool_day_2015_-_abstract,top_1_percent__audiotool_day_2015_-_abstract,s3://lucas-audiotool-tracks/mp3/b5/41/audiotool_day_2015_-_abstract.b5419e95.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b5/41/audiotool_day_2015_-_abstract.b5419e95.mp3,True,top 1%
tracks/dearest_father,top_1_percent__dearest_father,s3://lucas-audiotool-tracks/mp3/a7/b6/dearest_father.a7b66e33.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/a7/b6/dearest_father.a7b66e33.mp3,True,top 1%
tracks/unison_-_lagrue_remix,top_1_percent__unison_-_lagrue_remix,s3://lucas-audiotool-tracks/mp3/81/18/unison_-_lagrue_remix.8118c86b.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/81/18/unison_-_lagrue_remix.8118c86b.mp3,True,top 1%
tracks/d9phodymsgy4,top_1_percent__d9phodymsgy4,s3://lucas-audiotool-tracks/mp3/3f/a8/d9phodymsgy4.3fa8c05f.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3f/a8/d9phodymsgy4.3fa8c05f.mp3,True,top 1%
tracks/friday_the_13th,top_1_percent__friday_the_13th,s3://lucas-audiotool-tracks/mp3/8d/76/friday_the_13th.8d767ee4.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/8d/76/friday_the_13th.8d767ee4.mp3,True,top 1%
tracks/w5p3m0vz9,top_1_percent__w5p3m0vz9,s3://lucas-audiotool-tracks/mp3/b7/e9/w5p3m0vz9.b7e9df27.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b7/e9/w5p3m0vz9.b7e9df27.mp3,True,top 1%
tracks/tears_crawl_nominal_remix,top_1_percent__tears_crawl_nominal_remix,s3://lucas-audiotool-tracks/mp3/cd/3e/tears_crawl_nominal_remix.cd3e87ef.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/cd/3e/tears_crawl_nominal_remix.cd3e87ef.mp3,True,top 1%
tracks/just_another_daw_nch_x_sf_x_vlk_x_ari_x_asthtx,top_1_percent__just_another_daw_nch_x_sf_x_vlk_x_ari_x_asthtx,s3://lucas-audiotool-tracks/mp3/49/e7/just_another_daw_nch_x_sf_x_vlk_x_ari_x_asthtx.49e7f732.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/49/e7/just_another_daw_nch_x_sf_x_vlk_x_ari_x_asthtx.49e7f732.mp3,True,top 1%
tracks/a_bothersome_thorn_-_featuring_valentina_conte,top_1_percent__a_bothersome_thorn_-_featuring_valentina_conte,s3://lucas-audiotool-tracks/mp3/48/09/a_bothersome_thorn_-_featuring_valentina_conte.48097d78.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/48/09/a_bothersome_thorn_-_featuring_valentina_conte.48097d78.mp3,True,top 1%
tracks/akwgmc1vpws,top_1_percent__akwgmc1vpws,s3://lucas-audiotool-tracks/mp3/f3/9e/akwgmc1vpws.f39e64fa.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f3/9e/akwgmc1vpws.f39e64fa.mp3,True,top 1%
tracks/c83c9ihmmf,top_1_percent__c83c9ihmmf,s3://lucas-audiotool-tracks/mp3/95/ef/c83c9ihmmf.95effa67.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/95/ef/c83c9ihmmf.95effa67.mp3,True,top 1%
tracks/qcirgdhrd6c8,top_1_percent__qcirgdhrd6c8,s3://lucas-audiotool-tracks/mp3/64/09/qcirgdhrd6c8.6409bf5c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/64/09/qcirgdhrd6c8.6409bf5c.mp3,True,top 1%
tracks/a0m84leyndss,top_1_percent__a0m84leyndss,s3://lucas-audiotool-tracks/mp3/cb/6d/a0m84leyndss.cb6d107c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/cb/6d/a0m84leyndss.cb6d107c.mp3,True,top 1%
