track_id,pair_id,s3_url,http_url,is_parent,popularity_bin,popularity_label
tracks/faded_-_alan_walker_boundless_remake,faded_-_alan_walker_boundless_remake__faded_-_alan_walker_intro_remake_and_remix,s3://lucas-audiotool-tracks/mp3/9e/67/faded_-_alan_walker_boundless_remake.9e67163c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/9e/67/faded_-_alan_walker_boundless_remake.9e67163c.mp3,True,top_50_percent,top 50%
tracks/what_am_i_even_doing,what_am_i_even_doing__dayum-mixlg39ju,s3://lucas-audiotool-tracks/mp3/7c/ee/what_am_i_even_doing.7cee866f.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/7c/ee/what_am_i_even_doing.7cee866f.mp3,True,top_50_percent,top 50%
tracks/im_tired_of_sleeping,im_tired_of_sleeping__im_tired_of_sleeping_don_t_mourn_edit,s3://lucas-audiotool-tracks/mp3/72/4f/im_tired_of_sleeping.724fa481.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/72/4f/im_tired_of_sleeping.724fa481.mp3,True,top_50_percent,top 50%
tracks/schockwave,schockwave__schockwave_mmix,s3://lucas-audiotool-tracks/mp3/56/6b/schockwave.566b292e.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/56/6b/schockwave.566b292e.mp3,True,top_50_percent,top 50%
tracks/blossom_lil_peep_lil_uzi_type_beat,blossom_lil_peep_lil_uzi_type_beat__51lciai4dwkk,s3://lucas-audiotool-tracks/mp3/58/67/blossom_lil_peep_lil_uzi_type_beat.58675b5b.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/58/67/blossom_lil_peep_lil_uzi_type_beat.58675b5b.mp3,True,top_50_percent,top 50%
tracks/highway-3nnuc,highway-3nnuc__highway_hbeao_remix,s3://lucas-audiotool-tracks/mp3/a6/24/highway-3nnuc.a624f223.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/a6/24/highway-3nnuc.a624f223.mp3,True,top_50_percent,top 50%
tracks/polo_cologne,polo_cologne__polo_cologne_no_worries_i_guess,s3://lucas-audiotool-tracks/mp3/30/cb/polo_cologne.30cb1198.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/30/cb/polo_cologne.30cb1198.mp3,True,top_50_percent,top 50%
tracks/iy9x82iw,iy9x82iw__ypu1y1rl0hz,s3://lucas-audiotool-tracks/mp3/3c/9e/iy9x82iw.3c9e56b7.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3c/9e/iy9x82iw.3c9e56b7.mp3,True,top_50_percent,top 50%
tracks/rmko1qurzg,rmko1qurzg__dlsck83i,s3://lucas-audiotool-tracks/mp3/e6/9a/rmko1qurzg.e69a4dfc.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e6/9a/rmko1qurzg.e69a4dfc.mp3,True,top_50_percent,top 50%
tracks/kevxfkwd7l,kevxfkwd7l__54zy3obgb,s3://lucas-audiotool-tracks/mp3/8e/40/kevxfkwd7l.8e404468.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/8e/40/kevxfkwd7l.8e404468.mp3,True,top_50_percent,top 50%
tracks/zuw2cmi0r,zuw2cmi0r__2xv3xq29rm,s3://lucas-audiotool-tracks/mp3/92/35/zuw2cmi0r.92355913.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/92/35/zuw2cmi0r.92355913.mp3,True,top_50_percent,top 50%
tracks/party_robot_another_big_collab,party_robot_another_big_collab__hph9qxak,s3://lucas-audiotool-tracks/mp3/e1/25/party_robot_another_big_collab.e1252195.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e1/25/party_robot_another_big_collab.e1252195.mp3,True,top_50_percent,top 50%
